Sample in Buffer,Sample in Window,TRIGGER,us_sensor_0_i/after_echo_count_ff[31:0],object_det_OBUF
866,866,0,000507c8,0
867,867,0,000507c9,0
868,868,0,000507ca,0
869,869,0,000507cb,0
870,870,0,000507cc,0
871,871,0,000507cd,0
872,872,0,000507ce,0
873,873,0,000507cf,0
874,874,0,000507d0,0
875,875,0,000507d1,0
876,876,0,000507d2,0
877,877,0,000507d3,0
878,878,0,000507d4,0
879,879,0,000507d5,0
880,880,0,000507d6,0
881,881,0,000507d7,0
882,882,0,000507d8,0
883,883,0,000507d9,0
884,884,0,000507da,0
885,885,0,000507db,0
886,886,0,000507dc,0
887,887,0,000507dd,0
888,888,0,000507de,0
889,889,0,000507df,0
890,890,0,000507e0,0
891,891,0,000507e1,0
892,892,0,000507e2,0
893,893,0,000507e3,0
894,894,0,000507e4,0
895,895,0,000507e5,0
896,896,0,000507e6,0
897,897,0,000507e7,0
898,898,0,000507e8,0
899,899,0,000507e9,0
900,900,0,000507ea,0
901,901,0,000507eb,0
902,902,0,000507ec,0
903,903,0,000507ed,0
904,904,0,000507ee,0
905,905,0,000507ef,0
906,906,0,000507f0,0
907,907,0,000507f1,0
908,908,0,000507f2,0
909,909,0,000507f3,0
910,910,0,000507f4,0
911,911,0,000507f5,0
912,912,0,000507f6,0
913,913,0,000507f7,0
914,914,0,000507f8,0
915,915,0,000507f9,0
916,916,0,000507fa,0
917,917,0,000507fb,0
918,918,0,000507fc,0
919,919,0,000507fd,0
920,920,0,000507fe,0
921,921,0,000507ff,0
922,922,0,00050800,0
923,923,0,00050801,0
924,924,0,00050802,0
925,925,0,00050803,0
926,926,0,00050804,0
927,927,0,00050805,0
928,928,0,00050806,0
929,929,0,00050807,0
930,930,0,00050808,0
931,931,0,00050809,0
932,932,0,0005080a,0
933,933,0,0005080b,0
934,934,0,0005080c,0
935,935,0,0005080d,0
936,936,0,0005080e,0
937,937,0,0005080f,0
938,938,0,00050810,0
939,939,0,00050811,0
940,940,0,00050812,0
941,941,0,00050813,0
942,942,0,00050814,0
943,943,0,00050815,0
944,944,0,00050816,0
945,945,0,00050817,0
946,946,0,00050818,0
947,947,0,00050819,0
948,948,0,0005081a,0
949,949,0,0005081b,0
950,950,0,0005081c,0
951,951,0,0005081d,0
952,952,0,0005081e,0
953,953,0,0005081f,0
954,954,0,00050820,0
955,955,0,00050821,0
956,956,0,00050822,0
957,957,0,00050823,0
958,958,0,00050824,0
959,959,0,00050825,0
960,960,0,00050826,0
961,961,0,00050827,0
962,962,0,00050828,0
963,963,0,00050829,0
964,964,0,0005082a,0
965,965,0,0005082b,0
966,966,0,0005082c,0
967,967,0,0005082d,0
968,968,0,0005082e,0
969,969,0,0005082f,0
970,970,0,00050830,0
971,971,0,00050831,0
972,972,0,00050832,0
973,973,0,00050833,0
974,974,0,00050834,0
975,975,0,00050835,0
976,976,0,00050836,0
977,977,0,00050837,0
978,978,0,00050838,0
979,979,0,00050839,0
980,980,0,0005083a,0
981,981,0,0005083b,0
982,982,0,0005083c,0
983,983,0,0005083d,0
984,984,0,0005083e,0
985,985,0,0005083f,0
986,986,0,00050840,0
987,987,0,00050841,0
988,988,0,00050842,0
989,989,0,00050843,0
990,990,0,00050844,0
991,991,0,00050845,0
992,992,0,00050846,0
993,993,0,00050847,0
994,994,0,00050848,0
995,995,0,00050849,0
996,996,0,0005084a,0
997,997,0,0005084b,0
998,998,0,0005084c,0
999,999,0,0005084d,0
1000,1000,0,0005084e,0
1001,1001,0,0005084f,0
1002,1002,0,00050850,0
1003,1003,0,00050851,0
1004,1004,0,00050852,0
1005,1005,0,00050853,0
1006,1006,0,00050854,0
1007,1007,0,00050855,0
1008,1008,0,00050856,0
1009,1009,0,00050857,0
1010,1010,0,00050858,0
1011,1011,0,00050859,0
1012,1012,0,0005085a,0
1013,1013,0,0005085b,0
1014,1014,0,0005085c,0
1015,1015,0,0005085d,0
1016,1016,0,0005085e,0
1017,1017,0,0005085f,0
1018,1018,0,00050860,0
1019,1019,0,00050861,0
1020,1020,0,00050862,0
1021,1021,0,00050863,0
1022,1022,0,00050864,0
1023,1023,0,00050865,0
1024,1024,0,00050866,0
1025,1025,0,00050867,0
1026,1026,0,00050868,0
1027,1027,0,00050869,0
1028,1028,0,0005086a,0
1029,1029,0,0005086b,0
1030,1030,0,0005086c,0
1031,1031,0,0005086d,0
1032,1032,0,0005086e,0
1033,1033,0,0005086f,0
1034,1034,0,00050870,0
1035,1035,0,00050871,0
1036,1036,0,00050872,0
1037,1037,0,00050873,0
1038,1038,0,00050874,0
1039,1039,0,00050875,0
1040,1040,0,00050876,0
1041,1041,0,00050877,0
1042,1042,0,00050878,0
1043,1043,0,00050879,0
1044,1044,0,0005087a,0
1045,1045,0,0005087b,0
1046,1046,0,0005087c,0
1047,1047,0,0005087d,0
1048,1048,0,0005087e,0
1049,1049,0,0005087f,0
1050,1050,0,00050880,0
1051,1051,0,00050881,0
1052,1052,0,00050882,0
1053,1053,0,00050883,0
1054,1054,0,00050884,0
1055,1055,0,00050885,0
1056,1056,0,00050886,0
1057,1057,0,00050887,0
1058,1058,0,00050888,0
1059,1059,0,00050889,0
1060,1060,0,0005088a,0
1061,1061,0,0005088b,0
1062,1062,0,0005088c,0
1063,1063,0,0005088d,0
1064,1064,0,0005088e,0
1065,1065,0,0005088f,0
1066,1066,0,00050890,0
1067,1067,0,00050891,0
1068,1068,0,00050892,0
1069,1069,0,00050893,0
1070,1070,0,00050894,0
1071,1071,0,00050895,0
1072,1072,0,00050896,0
1073,1073,0,00050897,0
